AREA_DEL_HECHO,LUGAR,DIA,HORA_INFRACCION,ARMA,EDAD,SEXO,ANTECEDENTES,DISTRITO,PRESUNTA_MOTIVACION
URBANO,VIA PUBLICA,JUEVES,H01,ARMA DE FUEGO,19,HOMBRE,SIN_DATO,PORTETE,VIOLENCIA COMUNITARIA
RURAL,VIA PUBLICA,JUEVES,H16,ARMA BLANCA,28,HOMBRE,SIN_DATO,NUEVA PROSPERINA,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,VIERNES,H01,ARMA BLANCA,35,HOMBRE,SIN_DATO,NUEVA PROSPERINA,DELINCUENCIA COMUN
RURAL,VIA PUBLICA,MIERCOLES,H17,ARMA DE FUEGO,58,HOMBRE,SIN_DATO,PROGRESO,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,LUNES,H23,ARMA DE FUEGO,27,HOMBRE,SIN_DATO,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,24,HOMBRE,SIN_DATO,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,VIERNES,H22,ARMA DE FUEGO,20,HOMBRE,SIN_DATO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,VIERNES,H21,ARMA DE FUEGO,34,HOMBRE,SIN_DATO,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H05,ARMA DE FUEGO,22,MUJER,SIN_DATO,9 DE OCTUBRE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,LUNES,H17,ARMA DE FUEGO,28,HOMBRE,SIN_DATO,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,VIERNES,H17,ARMA DE FUEGO,18,HOMBRE,SIN_DATO,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,SABADO,H20,ARMA DE FUEGO,28,HOMBRE,SIN_DATO,FLORIDA,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,DOMINGO,H00,ARMA DE FUEGO,22,HOMBRE,SIN_DATO,FLORIDA,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,DOMINGO,H00,ARMA DE FUEGO,26,HOMBRE,SIN_DATO,FLORIDA,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,DOMINGO,H00,ARMA DE FUEGO,22,HOMBRE,SIN_DATO,FLORIDA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H16,ARMA DE FUEGO,26,HOMBRE,SIN_DATO,PASCUALES,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H16,ARMA DE FUEGO,18,HOMBRE,SIN_DATO,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,SABADO,H14,ARMA BLANCA,24,HOMBRE,SIN_DATO,DURAN,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H23,ARMA DE FUEGO,20,HOMBRE,SIN_DATO,SUR,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MARTES,H10,ARMA BLANCA,30,HOMBRE,SIN_DATO,PROGRESO,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,JUEVES,H20,ARMA DE FUEGO,29,HOMBRE,SIN_DATO,NUEVA PROSPERINA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,29,HOMBRE,SIN_DATO,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H04,ARMA DE FUEGO,33,HOMBRE,SIN_DATO,SUR,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H15,ARMA BLANCA,29,HOMBRE,SIN_DATO,PASCUALES,VIOLENCIA COMUNITARIA
